frame,warmup,persons,main_visible,inference_ms,draw_ms
1350,True,2,17,1991.337,1.494
1351,True,2,17,29.019,1.431
1352,True,2,17,29.018,1.358
1353,False,2,17,29.336,1.403
1354,False,2,17,26.076,1.409
1355,False,2,17,27.39,1.421
1356,False,2,17,30.662,1.098
1357,False,2,17,28.525,1.384
1358,False,2,17,25.457,1.088
1359,False,2,17,27.02,2.453
1360,False,2,17,24.513,1.399
1361,False,1,17,27.653,1.247
1362,False,1,17,30.335,1.212
1363,False,1,17,27.151,0.955
1364,False,1,17,26.835,1.244
1365,False,1,17,29.62,1.21
1366,False,1,17,27.74,1.196
1367,False,1,17,28.59,0.956
1368,False,1,17,26.821,1.418
1369,False,1,17,29.15,0.923
1370,False,1,17,26.661,1.176
1371,False,1,17,29.192,1.156
1372,False,1,17,28.215,1.185
1373,False,1,17,26.637,0.947
1374,False,1,17,25.969,1.214
1375,False,1,17,27.777,1.214
1376,False,1,17,26.213,0.966
1377,False,1,17,27.654,1.181
1378,False,1,17,27.533,1.23
1379,False,1,17,27.743,1.227
1380,False,2,17,29.411,1.426
1381,False,2,17,28.242,1.472
1382,False,2,17,28.816,1.455
1383,False,2,17,29.296,1.42
1384,False,2,17,29.563,1.406
1385,False,2,17,27.299,1.375
1386,False,2,17,25.932,1.406
1387,False,2,17,27.083,1.389
1388,False,2,17,27.561,1.411
1389,False,2,17,26.3,1.08
1390,False,2,17,29.068,1.17
1391,False,2,17,29.113,1.41
1392,False,2,17,27.268,1.414
1393,False,2,17,28.591,1.454
1394,False,2,17,27.867,1.596
1395,False,2,17,25.212,1.135
1396,False,2,17,26.465,1.129
1397,False,2,17,28.8,1.669
1398,False,2,17,31.131,1.503
1399,False,2,17,31.385,1.373
1400,False,2,17,30.317,1.087
1401,False,2,17,27.619,1.388
1402,False,2,17,26.602,1.371
1403,False,2,17,27.078,1.083
1404,False,2,17,28.065,1.379
1405,False,2,17,26.529,1.392
1406,False,2,17,27.453,1.605
1407,False,2,17,28.952,1.44
1408,False,2,17,27.573,1.364
1409,False,2,17,25.245,1.135
1410,False,2,17,28.699,1.455
1411,False,2,17,29.377,1.403
1412,False,2,17,27.109,2.402
1413,False,2,17,24.263,1.302
1414,False,2,17,25.433,1.405
1415,False,2,17,28.913,1.401
1416,False,2,17,27.806,1.405
1417,False,2,17,27.365,1.391
1418,False,2,17,26.794,1.422
1419,False,2,17,26.484,1.383
1420,False,2,17,24.063,1.122
1421,False,2,17,29.061,1.426
1422,False,2,17,27.231,1.411
1423,False,2,17,26.924,1.22
1424,False,2,17,24.026,1.12
1425,False,2,17,29.267,1.415
1426,False,2,17,28.435,1.404
1427,False,2,17,25.368,1.418
1428,False,2,17,25.889,1.12
1429,False,2,17,29.238,1.45
1430,False,2,17,29.524,1.391
1431,False,2,17,26.229,1.4
1432,False,2,17,26.687,1.073
1433,False,2,17,28.552,1.39
1434,False,2,17,27.457,1.606
1435,False,2,17,25.156,1.094
1436,False,2,17,27.333,1.342
1437,False,2,17,28.883,1.356
1438,False,2,17,29.443,1.356
1439,False,2,17,28.528,1.378
1440,False,2,17,28.62,1.099
1441,False,2,17,25.209,1.429
1442,False,2,17,31.503,1.406
1443,False,2,17,31.922,1.4
1444,False,2,17,25.888,1.386
1445,False,2,17,30.534,1.42
1446,False,2,17,27.567,1.148
1447,False,2,17,26.032,1.207
1448,False,2,17,32.151,1.501
1449,False,2,17,31.089,1.435
1450,False,2,17,27.46,1.445
1451,False,2,17,29.372,1.455
1452,False,2,17,27.307,1.428
1453,False,2,17,27.851,1.056
1454,False,2,17,26.18,1.396
1455,False,2,17,28.68,1.413
1456,False,2,17,25.806,1.461
1457,False,2,17,28.146,1.352
1458,False,2,17,30.625,1.242
1459,False,2,17,25.278,1.133
1460,False,2,17,28.875,1.476
1461,False,2,17,28.717,1.473
1462,False,2,17,24.992,1.097
1463,False,2,17,26.017,1.109
1464,False,2,17,27.121,1.4
1465,False,2,17,29.036,1.426
1466,False,2,17,28.037,1.429
1467,False,2,17,27.568,1.468
1468,False,2,17,31.476,1.444
1469,False,2,17,29.094,1.452
