frame,warmup,persons,main_visible,inference_ms,draw_ms
0,True,0,0,2395.299,0.557
1,True,0,0,27.888,0.501
2,True,0,0,29.164,0.537
3,False,0,0,30.318,0.5
4,False,0,0,28.622,0.528
5,False,0,0,27.039,0.445
6,False,0,0,27.366,0.522
7,False,0,0,29.704,0.527
8,False,0,0,30.446,0.546
9,False,0,0,28.458,0.543
10,False,0,0,30.691,0.554
11,False,0,0,31.316,0.499
12,False,0,0,29.773,0.658
13,False,0,0,25.548,0.505
14,False,0,0,26.965,0.463
15,False,0,0,26.328,0.458
16,False,0,0,29.248,0.548
17,False,0,0,28.894,0.493
18,False,0,0,28.251,0.538
19,False,0,0,27.571,0.457
20,False,0,0,27.884,0.517
21,False,0,0,29.556,0.541
22,False,0,0,27.897,0.527
23,False,0,0,29.192,0.602
24,False,0,0,28.08,0.523
25,False,0,0,28.729,0.53
26,False,0,0,27.623,0.464
27,False,0,0,27.162,0.55
28,False,0,0,29.043,0.514
29,False,0,0,27.443,0.532
30,False,0,0,27.703,0.465
31,False,0,0,25.767,0.447
32,False,0,0,27.189,0.52
33,False,0,0,30.359,0.52
34,False,0,0,28.463,0.529
35,False,0,0,32.781,0.46
36,False,0,0,28.391,0.505
37,False,0,0,27.11,0.484
38,False,0,0,29.558,0.559
39,False,0,0,28.258,0.528
40,False,0,0,28.195,0.532
41,False,0,0,29.351,0.52
42,False,0,0,27.383,0.52
43,False,0,0,28.856,0.531
44,False,0,0,27.967,0.53
45,False,0,0,26.529,0.509
46,False,0,0,28.382,0.455
47,False,0,0,25.868,0.515
48,False,0,0,29.012,0.528
49,False,0,0,30.694,0.529
50,False,0,0,28.965,0.57
51,False,0,0,30.473,0.531
52,False,0,0,27.961,0.511
53,False,0,0,27.157,0.516
54,False,0,0,28.274,0.51
55,False,0,0,28.406,0.509
56,False,0,0,26.231,0.526
57,False,0,0,27.229,0.51
58,False,0,0,25.496,0.445
59,False,0,0,26.861,0.537
60,False,0,0,28.875,0.528
61,False,0,0,28.046,0.456
62,False,0,0,28.716,0.531
63,False,0,0,27.62,0.557
64,False,0,0,31.207,0.463
65,False,0,0,30.137,0.542
66,False,0,0,29.075,0.471
67,False,0,0,29.002,0.567
68,False,0,0,25.313,0.536
69,False,0,0,28.832,0.54
70,False,0,0,27.785,0.511
71,False,0,0,28.37,0.556
72,False,0,0,31.435,0.495
73,False,0,0,28.072,0.513
74,False,0,0,30.56,0.581
75,False,0,0,29.034,0.451
76,False,0,0,26.628,0.531
77,False,0,0,28.944,0.546
78,False,0,0,28.695,0.538
79,False,0,0,30.982,0.513
80,False,0,0,26.441,0.524
81,False,0,0,27.146,0.506
82,False,0,0,25.718,0.504
83,False,0,0,27.423,0.501
84,False,0,0,27.792,0.53
85,False,0,0,30.51,0.534
86,False,0,0,28.988,0.534
87,False,0,0,28.487,0.467
88,False,0,0,26.38,0.55
89,False,0,0,29.214,0.537
90,False,0,0,29.278,0.532
91,False,0,0,31.542,0.533
92,False,1,14,30.561,1.174
93,False,1,14,27.948,1.129
94,False,1,14,28.988,1.13
95,False,1,14,28.396,1.211
96,False,1,14,28.837,1.158
97,False,1,14,27.578,1.1
98,False,1,14,30.062,1.178
99,False,1,15,29.471,1.175
100,False,1,15,25.876,0.938
101,False,1,16,25.268,1.007
102,False,1,16,25.251,1.464
103,False,1,16,29.664,1.244
104,False,1,16,33.437,1.28
105,False,1,16,28.689,1.233
106,False,1,16,30.478,1.314
107,False,1,16,28.467,1.202
108,False,1,16,27.024,1.235
109,False,1,16,25.299,1.25
110,False,1,16,29.191,1.202
111,False,1,15,29.16,0.967
112,False,1,15,29.146,1.215
113,False,1,15,27.876,1.186
114,False,1,15,24.237,0.925
115,False,1,15,24.987,0.998
116,False,1,15,31.103,1.178
117,False,1,15,27.748,1.182
118,False,1,15,29.925,1.327
119,False,1,15,27.148,1.245
