frame,warmup,persons,main_visible,inference_ms,draw_ms
1350,True,2,17,2525.181,19.075
1351,True,2,17,41.898,1.07
1352,True,2,17,42.865,0.783
1353,False,2,17,40.349,1.103
1354,False,2,17,40.547,1.093
1355,False,2,17,37.103,0.948
1356,False,2,17,41.516,0.912
1357,False,2,17,41.598,1.021
1358,False,2,17,44.552,1.134
1359,False,2,17,39.205,1.118
1360,False,2,17,43.28,1.069
1361,False,2,17,49.831,1.055
1362,False,2,17,49.12,1.075
1363,False,2,17,50.263,1.153
1364,False,2,17,45.761,1.028
1365,False,2,17,54.08,1.128
1366,False,2,17,61.55,1.102
1367,False,2,17,47.974,0.846
1368,False,2,17,47.582,1.035
1369,False,2,17,46.918,1.051
1370,False,2,17,46.57,1.192
1371,False,2,17,47.293,1.111
1372,False,2,17,51.204,0.778
1373,False,2,17,46.479,1.1
1374,False,2,17,49.146,1.025
1375,False,2,17,42.286,1.066
1376,False,2,17,57.962,1.035
1377,False,2,17,51.573,1.017
1378,False,2,17,45.252,1.08
1379,False,2,17,63.945,1.631
1380,False,1,17,51.951,1.181
1381,False,1,17,53.23,1.061
1382,False,1,17,57.82,1.129
1383,False,2,17,45.64,1.526
1384,False,1,17,52.207,0.953
1385,False,2,17,50.653,1.004
1386,False,2,17,50.138,1.249
1387,False,2,17,44.35,1.18
1388,False,2,17,56.213,1.366
1389,False,2,17,57.799,1.268
1390,False,2,17,54.677,0.93
1391,False,2,17,55.025,1.332
1392,False,2,17,54.953,1.136
1393,False,2,17,57.923,0.94
1394,False,2,17,57.369,0.861
1395,False,2,17,47.375,0.854
1396,False,1,17,44.67,0.972
1397,False,1,17,55.672,1.164
1398,False,1,17,48.624,1.091
1399,False,1,17,49.255,0.962
1400,False,2,17,46.411,1.156
1401,False,2,17,43.891,1.05
1402,False,2,17,53.161,1.164
1403,False,2,17,48.485,1.181
1404,False,1,17,45.231,1.312
1405,False,1,17,45.1,0.956
1406,False,1,17,41.286,1.011
1407,False,1,17,45.731,0.935
1408,False,1,17,41.38,0.946
1409,False,1,17,43.169,1.054
1410,False,1,17,42.491,0.927
1411,False,1,17,45.034,1.008
1412,False,1,17,44.785,1.16
1413,False,1,17,38.342,0.973
1414,False,1,17,38.504,0.939
1415,False,1,17,38.208,0.946
1416,False,1,17,38.785,0.971
1417,False,1,17,38.053,0.912
1418,False,2,17,35.38,0.974
1419,False,1,17,33.39,0.983
1420,False,2,17,35.511,0.821
1421,False,2,17,35.852,1.004
1422,False,2,17,37.364,0.856
1423,False,2,17,35.534,0.852
1424,False,2,17,37.623,0.994
1425,False,2,17,38.067,1.026
1426,False,2,17,38.395,0.82
1427,False,2,17,38.566,0.798
1428,False,2,17,39.168,0.858
1429,False,2,17,40.176,1.144
1430,False,2,17,39.134,1.098
1431,False,2,17,39.966,1.124
1432,False,2,17,42.42,1.088
1433,False,2,17,42.317,0.824
1434,False,2,17,42.344,1.171
1435,False,2,17,45.645,1.28
1436,False,2,17,40.571,0.984
1437,False,2,17,40.582,1.029
1438,False,2,17,39.748,1.125
1439,False,2,17,46.543,1.04
1440,False,2,17,40.876,1.192
1441,False,2,17,42.546,1.162
1442,False,2,17,41.474,1.033
1443,False,2,17,43.788,1.167
1444,False,2,17,44.27,1.11
1445,False,2,17,46.024,0.957
1446,False,2,17,42.087,1.164
1447,False,2,17,43.84,1.109
1448,False,2,17,47.629,1.263
1449,False,2,17,45.601,1.143
1450,False,2,17,42.771,0.991
1451,False,2,17,42.261,1.041
1452,False,2,17,37.296,1.062
1453,False,2,17,36.195,0.958
1454,False,2,17,38.663,0.795
1455,False,2,17,42.004,1.055
1456,False,2,17,44.939,1.031
1457,False,1,17,41.341,0.892
1458,False,1,17,44.104,1.263
1459,False,1,17,47.558,0.993
1460,False,2,17,43.386,0.992
1461,False,2,17,40.173,1.034
1462,False,2,17,43.394,1.027
1463,False,2,17,42.879,0.976
1464,False,2,17,45.153,1.111
1465,False,2,17,45.484,1.278
1466,False,2,17,41.178,1.089
1467,False,2,17,44.313,1.138
1468,False,2,17,42.314,0.837
1469,False,2,17,43.403,1.012
