stage,c,gamma,gamma_multiplier,train_samples,validation_samples,accuracy,macro_f1,weighted_f1,training_seconds,prediction_seconds,support_vectors
coarse,1.0,0.005747126436781609,1.0,10000,5742,0.41971438523162663,0.3695360447091996,0.4173240900977381,24.23291540000355,20.8667711999733,9043
coarse,1.0,0.0028735632183908046,0.5,10000,5742,0.4029954719609892,0.3474132327225331,0.40232431987231654,24.901004400046077,21.47849450004287,9030
coarse,3.0,0.0028735632183908046,0.5,10000,5742,0.4153605015673981,0.3655465514978968,0.4150592940384503,35.224194500013255,16.942526899976656,8943
coarse,1.0,0.011494252873563218,2.0,10000,5742,0.42615813305468475,0.393499330460363,0.4232621977815258,36.009101999981795,17.449932700023055,9166
coarse,3.0,0.005747126436781609,1.0,10000,5742,0.42563566701497735,0.3868053075477709,0.42542898137721247,17.163045399996918,13.521107899956405,8987
coarse,3.0,0.011494252873563218,2.0,10000,5742,0.43695576454197144,0.4129210289276596,0.4357815855602704,19.15223700000206,13.831144199997652,9197
coarse,10.0,0.0028735632183908046,0.5,10000,5742,0.4315569487983281,0.3875818498652349,0.4330367698750314,19.893399699998554,15.091405900020618,8873
coarse,10.0,0.005747126436781609,1.0,10000,5742,0.4320794148380355,0.4014869624683158,0.4328016329588601,22.65266929997597,14.217837299976964,8975
coarse,10.0,0.011494252873563218,2.0,10000,5742,0.4339951236502961,0.41205297939816404,0.4332502867776337,28.111690799996722,17.52893430000404,9289
coarse,30.0,0.0028735632183908046,0.5,10000,5742,0.43120863810518983,0.39116913717880947,0.4321767653218326,26.62193079997087,18.00887670001248,8847
coarse,30.0,0.005747126436781609,1.0,10000,5742,0.43173110414489724,0.4045197592061128,0.43220985123036776,64.14534089999506,29.08550159999868,9032
coarse,30.0,0.011494252873563218,2.0,10000,5742,0.42911877394636017,0.40759782520914645,0.4284379338942706,67.22435390000464,27.936299499997403,9343
full_validation,3.0,0.011494252873563218,2.0,22967,5742,0.46551724137931033,0.4458173251865613,0.4661240566345708,212.3833959000185,37.98179349995917,20632
full_validation,10.0,0.011494252873563218,2.0,22967,5742,0.4622082897944967,0.44584156915914835,0.4615765491081964,254.04566020000493,31.204690699989442,20792
full_validation,30.0,0.011494252873563218,2.0,22967,5742,0.45628700801114597,0.4424022159049458,0.4552491242608279,158.8458542000153,36.87838459998602,20924
