frame,warmup,persons,main_visible,inference_ms,draw_ms
450,True,2,17,2554.257,22.572
451,True,2,17,44.243,0.999
452,True,2,17,50.287,1.394
453,False,2,17,49.66,0.888
454,False,2,17,45.805,1.036
455,False,2,17,45.154,0.837
456,False,2,17,74.697,1.199
457,False,2,17,72.923,2.126
458,False,2,17,51.202,1.172
459,False,2,17,49.338,1.081
460,False,2,17,49.546,0.982
461,False,2,17,77.585,1.105
462,False,2,17,59.01,0.989
463,False,2,17,55.196,1.404
464,False,2,17,49.635,1.103
465,False,2,17,49.921,1.053
466,False,2,17,63.291,1.114
467,False,2,17,54.371,1.335
468,False,2,17,51.192,0.991
469,False,2,17,54.687,1.011
470,False,2,17,51.987,1.171
471,False,2,17,58.501,1.105
472,False,2,17,48.449,1.29
473,False,2,17,53.828,1.2
474,False,2,17,56.932,1.168
475,False,2,17,47.428,0.986
476,False,2,17,41.305,0.986
477,False,2,17,45.546,0.867
478,False,2,17,46.046,1.105
479,False,2,17,43.317,1.017
480,False,2,17,46.139,1.104
481,False,2,17,43.131,1.019
482,False,2,17,42.293,0.836
483,False,2,17,47.975,1.128
484,False,2,17,50.689,1.01
485,False,2,17,49.871,1.043
486,False,2,17,51.409,1.124
487,False,2,17,59.237,1.109
488,False,2,17,76.998,1.369
489,False,2,17,60.849,1.325
490,False,2,17,53.57,1.189
491,False,2,17,53.251,1.183
492,False,2,17,57.737,42.951
493,False,2,17,48.054,1.217
494,False,2,17,43.402,0.837
495,False,2,17,44.533,1.133
496,False,2,17,43.176,1.201
497,False,2,17,49.771,1.018
498,False,2,17,44.475,1.096
499,False,2,17,49.862,1.155
500,False,2,17,46.212,0.844
501,False,2,17,48.887,0.999
502,False,2,17,42.151,0.848
503,False,2,17,41.669,0.808
504,False,2,17,42.056,0.964
505,False,2,17,43.29,1.06
506,False,2,17,43.207,0.829
507,False,2,17,46.843,1.046
508,False,2,17,41.495,0.962
509,False,2,17,37.838,0.995
510,False,2,17,42.451,0.866
511,False,2,17,39.883,0.778
512,False,2,17,40.356,0.992
513,False,2,17,40.114,0.869
514,False,2,17,44.254,0.793
515,False,2,17,40.937,0.797
516,False,2,17,41.378,1.132
517,False,2,17,41.328,0.865
518,False,2,17,44.598,1.017
519,False,2,17,48.344,1.062
520,False,2,17,54.18,1.046
521,False,2,17,52.848,1.666
522,False,2,17,48.22,0.969
523,False,2,17,48.073,0.837
524,False,2,17,43.47,1.121
525,False,2,17,48.136,1.044
526,False,2,17,46.576,0.974
527,False,2,17,47.807,1.088
528,False,2,17,45.758,0.87
529,False,2,17,45.272,1.139
530,False,2,17,43.764,0.992
531,False,2,17,41.593,0.982
532,False,2,17,43.523,0.939
533,False,2,17,43.862,1.086
534,False,2,17,46.052,1.104
535,False,2,17,43.041,0.959
536,False,2,17,41.592,1.068
537,False,2,17,39.761,0.945
538,False,2,17,41.498,0.965
539,False,2,17,40.116,1.116
540,False,2,17,49.795,0.96
541,False,2,17,49.51,1.066
542,False,2,17,51.688,1.247
543,False,2,17,46.387,0.987
544,False,2,17,47.252,1.023
545,False,2,17,54.044,0.974
546,False,2,17,51.137,1.053
547,False,2,17,70.706,1.077
548,False,2,17,71.313,1.061
549,False,2,17,55.24,0.997
550,False,2,17,62.179,1.072
551,False,2,17,57.281,1.242
552,False,2,17,63.228,1.36
553,False,2,17,58.719,1.106
554,False,2,17,70.528,1.101
555,False,2,17,76.267,1.442
556,False,2,17,72.505,1.066
557,False,2,17,56.234,1.295
558,False,2,17,54.401,0.96
559,False,2,17,61.321,1.304
560,False,2,17,54.204,1.329
561,False,2,17,52.734,1.21
562,False,2,17,46.828,1.633
563,False,2,17,57.929,1.354
564,False,2,17,53.102,1.336
565,False,2,17,47.067,1.409
566,False,2,17,43.439,1.399
567,False,2,17,50.305,1.32
568,False,2,17,78.033,1.352
569,False,2,17,66.829,1.006
