name,variant,occlusion_mode,accuracy,balanced_accuracy,macro_f1,weighted_f1,inference_ms,angry_to_disgust,angry_to_sad,fear_to_surprise,sad_to_neutral
baseline_roi_cnn,face_eyes_mouth,clean,0.6746581124430188,0.6584130349044927,0.6560432828166848,0.6738152341163207,0.2751743035616531,16,103,82,187
baseline_roi_cnn,face_eyes_mouth,eye,0.5836569306094884,0.5358630302268206,0.5464791160941048,0.5808996270615422,0.1834655579947743,11,201,71,164
baseline_roi_cnn,face_eyes_mouth,mouth,0.5736957622826271,0.5600721326981576,0.5554597917842263,0.5760531491060563,0.1878948168146453,20,132,76,169
baseline_roi_cnn,face_eyes_mouth,random,0.6442681073780179,0.6278443918096238,0.6279323173348159,0.6444794489467712,0.1889110754693402,13,127,81,172
robust_roi_cnn,face_eyes_mouth,clean,0.6782036130339355,0.6584690459288612,0.6582421291871702,0.6765651959207392,0.1848281782889352,14,108,88,172
robust_roi_cnn,face_eyes_mouth,eye,0.6164106027351005,0.5913167057369347,0.5929212561271305,0.6165916665544812,0.1663525240576086,11,155,88,160
robust_roi_cnn,face_eyes_mouth,mouth,0.5993584332264056,0.5910692539137973,0.5727425924919544,0.5990835657903982,0.18654666554224966,32,117,103,170
robust_roi_cnn,face_eyes_mouth,random,0.6570994428499072,0.6400867219632517,0.6369121923399164,0.6565297206842216,0.18807448927695983,18,124,86,152
roi_ensemble,face_eyes_mouth,clean,0.6809049468174911,0.6621999901073637,0.6629880807862073,0.6797947245327517,0.45628022961330283,12,111,86,176
roi_ensemble,face_eyes_mouth,eye,0.6106702684450448,0.5775433373024516,0.5828883408368963,0.6100153666670407,0.37742476785275764,10,177,78,158
roi_ensemble,face_eyes_mouth,mouth,0.5978389329731555,0.5861470582103845,0.572981189828205,0.5984634663016118,0.3724783386788277,29,115,84,180
roi_ensemble,face_eyes_mouth,random,0.6581124430187405,0.6409817830565375,0.6418837645545314,0.6581436059062143,0.371067921660314,14,130,82,163
