frame,warmup,persons,main_visible,inference_ms,draw_ms
900,True,1,17,2252.85,1.224
901,True,1,17,26.89,1.185
902,True,1,17,26.346,2.281
903,False,1,17,27.656,1.227
904,False,1,17,27.591,1.218
905,False,1,17,29.157,1.223
906,False,1,17,29.205,1.242
907,False,1,17,30.018,1.23
908,False,1,17,27.693,1.202
909,False,1,17,29.255,1.236
910,False,1,17,29.538,1.324
911,False,1,17,31.018,1.299
912,False,1,17,32.518,1.324
913,False,1,17,30.771,1.327
914,False,1,17,29.213,1.287
915,False,1,17,32.586,1.289
916,False,1,17,29.187,1.263
917,False,1,17,27.324,1.228
918,False,1,17,27.617,1.26
919,False,1,17,30.511,1.246
920,False,1,17,28.701,1.025
921,False,1,17,27.551,1.261
922,False,1,17,31.475,1.217
923,False,1,17,27.539,1.237
924,False,1,17,30.729,1.266
925,False,1,17,28.843,1.269
926,False,1,17,31.413,1.294
927,False,1,17,35.353,1.419
928,False,1,17,31.099,1.048
929,False,1,17,28.821,1.36
930,False,1,17,28.042,1.259
931,False,1,17,30.136,1.227
932,False,1,17,28.498,1.028
933,False,1,17,28.4,1.263
934,False,1,17,29.938,1.299
935,False,1,17,30.349,1.308
936,False,1,17,31.942,1.282
937,False,1,17,29.072,1.235
938,False,1,17,30.75,1.205
939,False,1,17,27.37,1.242
940,False,1,17,29.505,1.332
941,False,1,17,30.803,1.274
942,False,1,17,29.266,1.381
943,False,1,17,31.546,1.026
944,False,1,17,28.406,2.233
945,False,1,17,29.955,1.0
946,False,1,17,28.661,1.189
947,False,1,17,27.317,1.199
948,False,1,17,29.635,1.223
949,False,1,17,28.191,1.306
950,False,1,17,26.352,0.975
951,False,1,17,25.468,1.22
952,False,1,17,28.556,1.238
953,False,1,17,27.647,1.22
954,False,1,17,27.067,1.212
955,False,1,17,26.414,1.206
956,False,1,17,30.348,0.966
957,False,1,17,27.869,1.039
958,False,1,17,29.796,1.267
959,False,1,17,28.165,0.999
960,False,1,17,29.801,1.278
961,False,1,17,32.985,1.228
962,False,1,17,29.689,1.273
963,False,1,17,30.434,1.198
964,False,1,17,29.5,1.277
965,False,1,17,26.97,1.007
966,False,1,17,28.465,1.246
967,False,1,17,28.464,1.236
968,False,1,17,30.741,1.313
969,False,1,17,30.683,1.272
970,False,1,17,31.101,1.205
971,False,1,17,29.879,1.247
972,False,1,17,28.842,1.245
973,False,1,17,28.669,1.225
974,False,1,17,26.8,1.221
975,False,1,17,27.576,1.192
976,False,1,17,30.254,2.512
977,False,1,17,27.65,1.201
978,False,1,17,27.425,1.226
979,False,1,17,27.696,1.193
980,False,1,17,26.68,1.314
981,False,1,17,32.779,1.303
982,False,1,17,32.058,1.244
983,False,1,17,28.142,0.967
984,False,1,17,26.509,1.197
985,False,1,17,28.889,0.95
986,False,1,17,26.109,0.986
987,False,1,17,28.629,0.958
988,False,1,17,24.526,0.995
989,False,1,17,28.387,1.236
990,False,1,17,27.173,0.973
991,False,1,17,28.812,1.221
992,False,1,17,27.969,1.264
993,False,1,17,30.096,1.196
994,False,1,17,27.444,1.206
995,False,1,17,27.917,1.19
996,False,1,17,30.119,1.228
997,False,1,17,28.552,1.25
998,False,1,17,31.162,1.276
999,False,1,17,31.607,1.287
1000,False,1,17,33.237,1.295
1001,False,1,17,29.49,1.262
1002,False,1,17,29.293,1.323
1003,False,1,17,30.793,1.27
1004,False,1,17,29.158,0.973
1005,False,1,17,27.268,1.21
1006,False,1,17,28.079,1.194
1007,False,1,17,30.987,1.231
1008,False,1,17,30.405,1.314
1009,False,1,17,31.579,1.232
1010,False,1,17,29.113,0.989
1011,False,1,17,29.19,1.239
1012,False,1,17,31.107,1.358
1013,False,1,17,28.364,1.312
1014,False,1,17,33.279,1.261
1015,False,1,17,29.585,1.275
1016,False,2,17,29.431,2.51
1017,False,2,17,28.54,1.092
1018,False,1,17,28.453,1.228
1019,False,2,17,30.107,1.379
