frame,warmup,persons,main_visible,inference_ms,draw_ms
450,True,2,17,2477.094,1.479
451,True,2,17,29.273,1.12
452,True,2,17,26.984,1.136
453,False,2,17,28.259,1.417
454,False,2,17,27.614,1.432
455,False,2,17,29.97,1.181
456,False,2,17,28.083,1.122
457,False,2,17,31.05,1.467
458,False,2,17,28.677,1.442
459,False,2,17,30.461,1.44
460,False,2,17,31.463,1.087
461,False,2,17,30.127,1.529
462,False,2,17,33.274,1.416
463,False,2,17,30.874,1.458
464,False,2,17,31.019,1.484
465,False,2,17,31.184,1.414
466,False,2,17,27.525,1.114
467,False,2,17,30.362,1.441
468,False,2,17,31.087,1.425
469,False,2,17,34.042,1.497
470,False,2,17,31.402,1.415
471,False,2,17,30.255,1.395
472,False,2,17,29.938,1.407
473,False,2,17,32.067,1.484
474,False,2,17,31.302,1.45
475,False,2,17,29.575,1.43
476,False,3,17,31.23,1.693
477,False,3,17,30.273,1.55
478,False,2,17,33.826,1.505
479,False,2,17,30.456,1.538
480,False,2,17,26.305,1.35
481,False,2,17,29.984,1.403
482,False,2,17,26.881,1.133
483,False,2,17,32.235,1.524
484,False,2,17,33.336,1.496
485,False,2,17,31.74,1.492
486,False,2,17,31.998,1.588
487,False,2,17,30.243,1.463
488,False,2,17,32.118,1.467
489,False,2,17,30.794,1.208
490,False,2,17,30.554,1.433
491,False,2,17,29.194,1.449
492,False,2,17,29.817,1.481
493,False,2,17,29.554,1.334
494,False,2,17,26.44,1.101
495,False,2,17,34.391,1.511
496,False,2,17,29.493,1.399
497,False,2,17,28.34,1.391
498,False,2,17,29.432,1.351
499,False,2,17,27.297,1.388
500,False,3,17,29.697,1.586
501,False,2,17,27.805,1.451
502,False,2,17,28.78,1.455
503,False,3,17,28.849,1.304
504,False,2,17,34.917,1.546
505,False,2,17,30.048,1.418
506,False,2,17,27.348,1.484
507,False,2,17,33.82,1.563
508,False,2,17,31.459,1.465
509,False,2,17,33.588,1.425
510,False,2,17,28.703,1.47
511,False,2,17,29.486,1.117
512,False,2,17,30.661,1.49
513,False,2,17,28.633,1.424
514,False,2,17,29.748,1.445
515,False,2,17,31.987,1.417
516,False,2,17,32.663,1.483
517,False,2,17,36.955,1.523
518,False,2,17,33.132,1.444
519,False,3,17,29.173,1.585
520,False,3,17,27.433,1.573
521,False,3,17,27.432,1.576
522,False,2,17,26.924,1.089
523,False,2,17,28.919,1.597
524,False,2,17,26.847,1.403
525,False,3,17,29.949,1.217
526,False,3,17,27.736,1.572
527,False,3,17,30.403,1.593
528,False,3,17,28.904,1.573
529,False,3,17,27.443,1.604
530,False,3,17,30.188,1.665
531,False,3,17,29.228,1.647
532,False,3,17,29.201,1.697
533,False,3,17,28.616,1.627
534,False,2,17,29.611,1.435
535,False,2,17,28.119,1.435
536,False,2,17,29.212,1.443
537,False,3,17,29.747,1.552
538,False,3,17,26.681,1.566
539,False,3,17,27.156,1.586
540,False,3,17,29.305,1.588
541,False,3,17,28.975,1.636
542,False,3,17,32.448,1.665
543,False,2,17,30.195,1.177
544,False,3,17,31.814,1.67
545,False,3,17,31.952,1.749
546,False,3,17,32.378,1.648
547,False,3,17,30.739,1.605
548,False,3,17,29.321,1.61
549,False,3,17,30.121,1.575
550,False,3,17,28.851,1.62
551,False,3,17,30.124,1.923
552,False,3,17,28.99,1.61
553,False,3,17,28.135,1.645
554,False,3,17,32.952,1.695
555,False,3,17,30.42,1.875
556,False,3,17,31.993,1.321
557,False,2,17,35.21,1.52
558,False,2,17,33.414,1.454
559,False,2,17,28.352,1.096
560,False,2,17,30.943,1.402
561,False,2,17,28.819,1.469
562,False,2,17,34.129,1.437
563,False,2,17,29.347,1.405
564,False,3,17,29.953,1.243
565,False,2,17,26.586,1.157
566,False,2,17,31.715,1.489
567,False,2,17,33.531,1.726
568,False,2,17,35.086,1.685
569,False,2,17,36.464,1.16
