frame,warmup,persons,main_visible,inference_ms,draw_ms
1800,True,2,17,2434.798,22.332
1801,True,2,17,51.165,1.416
1802,True,2,17,50.592,1.3
1803,False,2,17,58.547,1.176
1804,False,2,17,59.668,1.085
1805,False,2,17,53.363,1.256
1806,False,2,17,59.208,1.009
1807,False,2,17,54.876,1.407
1808,False,2,17,48.266,1.204
1809,False,2,17,58.546,1.205
1810,False,2,17,66.872,2.004
1811,False,2,17,86.002,1.302
1812,False,2,17,71.43,1.538
1813,False,2,17,57.744,1.134
1814,False,2,17,49.395,1.201
1815,False,2,17,51.065,1.164
1816,False,2,17,46.007,1.1
1817,False,2,17,48.831,0.856
1818,False,2,17,47.303,1.093
1819,False,2,17,47.093,1.465
1820,False,2,17,41.036,0.848
1821,False,2,17,43.153,0.888
1822,False,2,17,46.213,1.074
1823,False,2,17,37.449,0.862
1824,False,2,17,48.535,1.173
1825,False,2,17,43.816,1.129
1826,False,2,17,40.987,1.051
1827,False,2,17,45.938,1.114
1828,False,2,17,67.702,0.873
1829,False,2,17,49.399,1.236
1830,False,2,17,40.043,1.038
1831,False,2,17,41.146,1.101
1832,False,2,17,46.14,1.213
1833,False,2,17,43.96,1.415
1834,False,2,17,48.076,1.256
1835,False,2,17,53.246,1.044
1836,False,2,17,45.888,1.313
1837,False,2,17,52.677,1.254
1838,False,2,17,60.089,1.713
1839,False,2,17,54.612,1.199
1840,False,2,17,56.025,2.212
1841,False,2,17,54.106,1.048
1842,False,2,17,52.589,1.5
1843,False,2,17,57.939,1.317
1844,False,2,17,48.476,1.249
1845,False,2,17,46.032,1.201
1846,False,2,17,43.922,1.31
1847,False,2,17,44.669,1.349
1848,False,2,17,44.419,1.229
1849,False,2,17,42.318,1.321
1850,False,2,17,44.967,1.4
1851,False,2,17,49.044,1.432
1852,False,2,17,51.195,1.427
1853,False,2,17,48.437,1.462
1854,False,2,17,41.412,1.428
1855,False,2,17,40.828,1.346
1856,False,2,17,37.991,1.295
1857,False,2,17,40.862,1.024
1858,False,2,17,64.857,1.198
1859,False,2,16,40.501,1.309
1860,False,2,17,41.574,1.206
1861,False,2,17,44.528,1.114
1862,False,2,17,37.839,1.21
1863,False,2,16,40.14,1.284
1864,False,2,16,41.409,1.245
1865,False,2,16,40.961,1.06
1866,False,2,16,58.701,1.467
1867,False,2,16,49.45,1.278
1868,False,2,16,37.853,1.646
1869,False,2,16,55.178,1.79
1870,False,2,16,43.921,1.332
1871,False,2,16,41.885,1.283
1872,False,2,16,41.977,1.321
1873,False,2,16,44.311,1.063
1874,False,2,16,40.178,1.283
1875,False,2,16,40.189,1.646
1876,False,2,16,54.389,1.366
1877,False,2,16,41.882,1.35
1878,False,2,16,48.569,1.616
1879,False,2,16,47.278,1.273
1880,False,2,16,49.019,1.243
1881,False,2,16,47.737,1.763
1882,False,2,16,48.928,1.544
1883,False,2,17,46.255,1.253
1884,False,2,17,46.635,1.252
1885,False,2,17,52.459,1.468
1886,False,2,17,50.334,1.186
1887,False,2,17,45.583,1.273
1888,False,2,17,42.806,1.406
1889,False,2,17,45.893,1.045
1890,False,2,17,47.068,1.29
1891,False,2,17,52.044,1.326
1892,False,2,17,60.48,1.473
1893,False,2,17,54.654,1.27
1894,False,2,17,49.24,1.198
1895,False,2,17,51.674,1.188
1896,False,2,17,52.757,1.342
1897,False,2,17,52.118,1.007
1898,False,2,17,44.646,1.024
1899,False,2,17,42.851,1.071
1900,False,2,17,43.876,0.87
1901,False,2,17,44.005,1.051
1902,False,2,17,44.029,1.139
1903,False,2,17,42.042,0.853
1904,False,2,17,36.656,0.86
1905,False,2,17,37.837,0.854
1906,False,2,17,40.322,1.033
1907,False,2,17,37.478,0.841
1908,False,2,17,38.854,1.043
1909,False,2,17,39.484,1.031
1910,False,2,17,43.292,1.028
1911,False,1,17,39.646,0.757
1912,False,1,17,39.522,0.914
1913,False,1,17,39.681,0.931
1914,False,2,17,38.992,1.055
1915,False,2,17,38.691,1.402
1916,False,2,17,38.865,1.067
1917,False,2,17,44.061,1.049
1918,False,2,17,44.272,1.58
1919,False,2,17,48.271,1.04
